file_count,lines_of_code
1591,1
2212,2
3136,3
3595,4
3714,5
3472,6
3339,7
2914,8
2593,9
2330,10
2185,11
1778,12
1664,13
1435,14
1150,15
955,16
829,17
668,18
590,19
519,20
465,21
398,22
346,23
328,24
278,25
264,26
227,27
196,28
190,29
178,30
173,31
135,32
145,33
132,34
117,35
96,36
91,37
74,38
58,39
73,40
68,41
63,42
64,43
45,44
54,45
30,46
39,47
46,48
48,49
31,50
45,51
38,52
32,53
32,54
21,55
27,56
23,57
28,58
22,59
19,60
38,61
23,62
18,63
30,64
23,65
21,66
9,67
17,68
19,69
11,70
9,71
11,72
16,73
10,74
16,75
16,76
10,77
12,78
27,79
7,80
8,81
3,82
7,83
7,84
5,85
5,86
5,87
19,88
13,89
9,90
9,91
3,92
4,93
5,94
6,95
5,96
5,97
8,98
4,99
2,100
6,101
4,102
5,103
1,104
2,105
4,106
11,107
10,108
4,109
4,110
4,112
1,113
3,114
4,115
3,116
3,117
3,118
1,119
1,120
3,121
3,122
1,123
2,125
3,127
1,129
3,130
1,131
1,133
1,135
3,138
5,139
1,140
2,141
1,142
2,143
1,144
1,145
2,146
1,147
1,148
1,150
4,151
1,152
1,153
1,154
2,155
2,158
1,160
1,161
2,163
1,169
2,170
1,172
1,173
1,174
1,175
1,178
2,179
2,180
1,181
5,182
2,184
1,186
1,187
3,188
3,189
3,190
2,193
1,194
1,195
2,196
3,197
1,198
2,200
1,201
3,203
3,206
2,211
2,226
1,234
1,235
1,240
1,244
3,246
2,251
1,252
1,254
1,257
1,258
1,262
1,267
1,285
1,306
1,316
1,325
2,326
1,333
1,343
2,346
1,348
1,371
1,376
1,403
1,423
1,426
1,428
1,467
1,512
1,515
1,520
1,529
1,562
1,569
1,617
1,670
1,917
1,1913
