file_count,tokens
3078,20
2848,21
2370,22
2505,23
1941,24
1739,25
1596,26
1423,27
1298,28
1269,29
1183,30
1148,31
1072,32
959,33
902,34
961,35
743,36
717,37
649,38
641,39
561,40
564,41
517,42
448,43
443,44
407,45
386,46
413,47
378,48
326,49
280,50
327,51
337,52
345,53
305,54
229,55
273,56
274,57
242,58
249,59
241,60
280,61
204,62
208,63
180,64
187,65
158,66
179,67
171,68
167,69
132,70
208,71
175,72
156,73
148,74
109,75
129,76
154,77
105,78
120,79
112,80
129,81
103,82
126,83
81,84
94,85
98,86
118,87
99,88
82,89
75,90
92,91
75,92
82,93
80,94
93,95
99,96
74,97
70,98
102,99
68,100
98,101
71,102
61,103
75,104
81,105
50,106
50,107
46,108
68,109
56,110
58,111
72,112
53,113
63,114
46,115
45,116
56,117
49,118
38,119
44,120
70,121
22,122
31,123
68,124
57,125
48,126
41,127
45,128
37,129
49,130
30,131
37,132
35,133
25,134
44,135
37,136
43,137
32,138
33,139
32,140
25,141
29,142
18,143
29,144
22,145
36,146
19,147
23,148
28,149
21,150
34,151
29,152
30,153
22,154
21,155
23,156
29,157
18,158
17,159
26,160
29,161
17,162
13,163
14,164
30,165
10,166
22,167
15,168
11,169
11,170
22,171
9,172
25,173
19,174
12,175
15,176
10,177
10,178
21,179
13,180
13,181
14,182
13,183
10,184
15,185
15,186
7,187
10,188
13,189
12,190
10,191
12,192
7,193
9,194
12,195
16,196
12,197
8,198
12,199
14,200
16,201
8,202
9,203
15,204
10,205
18,206
7,207
3,208
12,209
13,210
10,211
9,212
7,213
8,214
8,215
4,216
10,217
7,218
2,219
3,220
9,221
7,222
12,223
13,224
8,225
9,226
18,227
11,228
14,229
10,230
7,231
20,232
8,233
3,234
6,235
14,236
15,237
11,238
7,239
8,240
5,241
7,242
15,243
9,244
5,245
8,246
17,247
5,248
7,249
8,250
9,251
9,252
3,253
6,254
5,255
5,256
5,257
10,258
4,259
4,260
5,261
8,262
8,263
3,264
7,265
1,266
6,267
12,268
6,269
6,270
8,271
10,272
3,273
5,274
5,275
7,276
7,277
4,278
3,279
1,280
4,281
2,282
4,283
4,284
5,285
4,286
2,287
2,288
14,289
4,290
1,291
6,292
5,293
4,294
5,295
4,296
3,297
7,298
1,299
3,300
3,301
5,302
5,303
3,304
2,305
4,306
3,308
7,309
2,310
5,311
1,312
4,313
4,314
4,315
3,316
1,317
2,318
2,319
6,321
2,322
3,323
1,324
1,325
6,326
2,327
11,329
2,330
3,332
2,333
2,334
4,335
3,336
6,337
3,338
4,339
3,340
6,341
1,342
2,343
4,344
3,345
1,346
3,347
2,348
3,349
4,350
8,351
2,352
5,354
1,355
9,356
5,357
1,358
3,359
4,360
4,361
1,362
2,363
1,364
1,367
3,368
4,370
2,371
3,373
1,374
2,375
3,376
1,377
2,378
1,379
1,380
1,381
1,382
1,383
4,384
2,385
2,386
1,387
1,388
2,390
3,391
1,392
2,394
2,395
3,396
1,397
1,399
1,400
4,401
2,402
1,403
1,404
1,405
3,406
4,409
1,410
2,411
2,412
2,414
4,415
3,416
2,419
1,420
3,421
1,422
1,423
2,424
2,426
1,428
2,429
1,430
2,431
3,433
1,435
1,440
4,441
1,443
1,444
3,445
1,446
2,448
1,449
1,450
5,451
3,454
2,457
2,458
1,459
3,461
2,463
1,464
3,465
1,466
2,467
3,468
1,471
1,472
2,473
1,474
1,476
2,481
1,482
1,484
2,485
1,486
1,490
1,492
3,496
3,498
1,499
1,501
2,504
3,505
1,506
1,508
1,509
1,510
1,512
1,517
1,518
1,519
1,520
1,523
2,525
2,527
1,529
1,530
2,534
1,535
2,537
2,538
2,541
1,542
1,544
1,547
1,548
2,549
2,554
1,557
1,558
1,561
2,569
1,574
1,576
1,581
2,585
1,586
1,592
1,595
2,597
2,600
1,604
1,609
2,610
2,627
1,633
1,636
1,641
1,642
1,645
2,648
1,656
1,657
1,661
1,670
1,677
1,695
1,697
1,698
1,699
2,705
1,707
1,708
1,710
1,714
1,716
1,722
1,735
1,737
2,738
1,740
1,800
1,807
1,809
1,813
4,814
1,818
1,823
1,833
1,834
2,844
1,847
1,852
1,864
1,869
1,886
1,887
1,889
1,896
1,898
1,911
2,913
1,917
1,923
1,933
1,937
1,950
1,958
1,959
1,965
1,972
1,978
1,980
1,981
1,983
1,985
1,989
1,993
1,1014
1,1019
1,1042
1,1064
1,1066
1,1078
1,1084
3,1089
2,1091
1,1093
1,1095
1,1098
2,1102
1,1105
1,1106
1,1107
2,1113
1,1114
1,1116
1,1124
1,1138
1,1141
2,1162
1,1177
2,1178
1,1217
1,1238
1,1240
1,1253
1,1259
1,1262
1,1276
1,1287
1,1306
1,1336
1,1368
1,1370
1,1378
1,1414
1,1419
1,1430
6,1434
1,1437
1,1441
3,1442
1,1443
1,1444
3,1446
1,1449
1,1464
1,1475
1,1476
1,1478
1,1480
2,1508
2,1526
1,1575
1,1588
1,1608
1,1703
1,1743
1,1774
1,1835
1,2032
1,2234
1,2289
1,2331
1,2343
1,2440
1,2471
1,2551
1,2651
1,2653
1,2704
1,2891
1,2970
1,3054
1,3096
1,3216
1,3227
1,3232
1,3615
1,3637
1,3978
1,3980
1,4640
1,4867
1,4990
1,8384
