Project,Folder Size,Folder Size After File Move,Folder Size After File Move2,Package Size
5355,80888653,80888653,80888653,19502832
12299,30878735,30877935,30877935,2879641
4984,30268596,30268596,30268596,7633694
1725,28822540,28821570,28821570,18485467
11627,27173854,27173854,27173854,9499071
3783,25889546,25889546,25889546,11833174
16971,25695324,25695324,25695324,20292106
11622,24938667,24938667,24938667,9457761
5305,24706905,24706905,24706905,18928579
15567,24288265,24288265,24288265,10563148
16097,24206896,24206896,24206896,19496023
14781,23850401,23850401,23850401,8454520
7438,23843019,23843019,23843019,20829251
18057,23663571,23663571,23663571,17287730
16310,23545304,23544502,23544502,17740985
10050,22869600,22869600,22869600,9755550
16842,22685699,22685699,22685699,19519373
16165,22579673,22579673,22579673,18730317
439,22508164,22508164,22508164,16254537
3756,22410096,22410096,22410096,19932178
5206,22363791,22363791,22363791,1524122
10433,22224760,22224760,22224760,16643629
871,22206329,22206329,22206329,18074730
16904,22192480,22192480,22192480,17536219
6869,21989740,21989740,21989740,19853044
10683,21888708,21887807,21887807,20964299
12275,21869712,21869712,21869712,16387374
13494,21847563,21847399,21847399,20174139
1418,21728550,21728550,21728550,15985931
16633,21694988,21694988,21694988,20083165
13927,21691907,21691907,21691907,20174037
13827,21657225,21657225,21657225,19826379
18931,21559182,21559182,21559182,19393984
18363,21533066,21533066,21533066,17868292
9787,21278682,21278682,21278682,19288912
16889,21154883,21154883,21154883,15634834
18890,21129393,21129393,21129393,20741482
9937,21090538,21090538,21090538,18808312
14428,21043771,21043771,21043771,19592990
11529,20966070,20966070,20966070,20514789
16339,20859125,20858102,20858102,14600687
15743,20833359,20833359,20833359,13211524
16746,20761106,20760877,20760877,20453688
1438,20457731,20457731,20457731,19309349
18273,20434736,20434736,20434736,19695714
17439,20288653,20288653,20288653,19814559
16376,20265356,20265276,20265276,20050539
5309,20147374,20147374,20147374,17923228
15617,20074912,20074912,20074912,19736613
13636,19995224,19995224,19995224,19514586
13044,19949949,19949949,19949949,19275054
18421,19843754,19843470,19843470,17676741
18100,19837599,19837599,19837599,17673019
13828,19798819,19798819,19798819,19533388
5078,19648047,19648047,19648047,18361133
5338,19647444,19647444,19647444,18865371
1405,19466054,19466054,19466054,18130844
12587,19420987,19420987,19420987,16857323
14708,19408133,19408133,19408133,16238313
10047,19334865,19334865,19334865,17512208
17403,19271432,19271432,19271432,19385692
1672,19218614,19218614,19218614,18189077
12099,19210664,19210382,19210382,18422715
1407,19196364,19196364,19196364,3040635
7855,19156536,19156536,19156536,18532287
403,19136162,19136162,19136162,223011
9032,19118889,19118889,19118889,17843545
8932,19105102,19105102,19105102,17309338
3678,18995712,18995712,18995712,14893810
13528,18965468,18964170,18964170,18677683
11558,18956993,18956993,18956993,17922209
16602,18950186,18950186,18950186,17893571
16606,18859337,18859337,18859337,16271081
9613,18827610,18827610,18827610,17545476
13246,18778335,18778335,18778335,18189386
1918,18771601,18771601,18771601,13325726
18624,18767919,18767919,18767919,16461022
10226,18692665,18692665,18692665,17086073
7853,18630036,18630036,18630036,18017983
7285,18626441,18626057,18626057,17918278
12159,18577061,18577061,18577061,16847533
15354,18517021,18517021,18517021,17604674
16358,18490613,18490613,18490613,17893370
6125,18440724,18440724,18440724,15047830
13958,18367306,18367306,18367306,17743289
6857,18345758,18345758,18345758,15746931
12682,18247400,18247400,18247400,17278977
15700,18215682,18215682,18215682,17599748
14482,18198912,18198912,18198912,16451038
7251,18176073,18176073,18176073,17117036
16839,18092175,18092175,18092175,17794294
3155,18085064,18085064,18085064,16435765
8962,17988348,17988348,17988348,16718337
9578,17969194,17969194,17969194,17465879
9580,17969185,17969185,17969185,17465871
16740,17891997,17891997,17891997,17853605
17423,17790489,17790489,17790489,17662717
7726,17680026,17679192,17679192,16683896
10921,17612108,17612108,17612108,11111015
17449,17546996,17546996,17546996,15352134
16626,17446705,17446705,17446705,14452884
16087,17344233,17344233,17344233,15039458
6927,17325185,17325185,17325185,16398475
6877,17320523,17320523,17320523,16351512
13038,17285338,17285338,17285338,16772711
11937,17236064,17236064,17236064,16986943
12671,17226602,17226602,17226602,16970514
11061,17209603,17209278,17209278,15171565
13151,17208700,17208700,17208700,15802404
17018,17205983,17205353,17205353,16939060
15818,17195624,17195624,17195624,14576104
17127,17193627,17193627,17193627,15880780
16031,17161185,17161185,17161185,17089251
14095,17156579,17156579,17156579,17025109
6861,17094056,17094056,17094056,16724327
9268,17046284,17046284,17046284,14525907
16658,17034407,17034407,17034407,16835068
1640,17031594,17031110,17031110,16632816
15666,16993495,16993495,16993495,11834788
4544,16960801,16960801,16960801,12919784
11820,16899029,16899029,16899029,14996044
11819,16898664,16898664,16898664,14995810
18499,16858235,16858235,16858235,16554177
15781,16793575,16793575,16793575,15675302
13878,16730593,16730593,16730593,16273853
10188,16696893,16696893,16696893,15913761
2415,16687705,16687705,16687705,10825582
16620,16686897,16686897,16686897,8941535
16625,16681980,16681980,16681980,16504605
1485,16630829,16630617,16630617,11842214
16650,16540610,16540610,16540610,14299461
15563,16501238,16501238,16501238,11780193
1526,16460332,16459788,16459788,14892036
11903,16456240,16456240,16456240,16354577
3918,16424600,16424600,16424600,13268832
15764,16418255,16418255,16418255,16171864
6361,16372672,16372672,16372672,15266506
9037,16329186,16329186,16329186,15153819
13109,16280856,16274512,16274512,15562488
12539,16260382,16260382,16260382,15960419
14813,16248714,16248714,16248714,12765230
2871,16240723,16240723,16240723,15844229
823,16195354,16195354,16195354,12620763
15680,16158455,16158455,16158455,15503065
5296,16134080,16134080,16134080,15728264
7845,16089501,16089501,16089501,15883744
10564,16079912,16079912,16079912,14891022
5643,16004065,16004065,16004065,15180727
5319,15965347,15965347,15965347,14981878
18947,15921439,15921439,15921439,13681517
1246,15911240,15911240,15911240,10673640
3125,15853237,15853237,15853237,13638747
2498,15760971,15758150,15758150,15120370
6872,15697767,15697767,15697767,12889511
7693,15653843,15653843,15653843,12393585
11415,15567256,15567256,15567256,15374380
13367,15538791,15538791,15538791,15339470
573,15538142,15538142,15538142,883010
14188,15411319,15411319,15411319,15172553
15612,15374744,15374744,15374744,14427707
10010,15340494,15340494,15340494,13621052
14556,15333859,15333859,15333859,15082836
14795,15323592,15323592,15323592,15197768
18511,15175078,15175078,15175078,15015638
2830,15166209,15166209,15166209,14774717
2707,15133615,15133615,15133615,14991833
16645,15132574,15132574,15132574,15029791
5625,15045724,15045724,15045724,10719813
18298,15030038,15030038,15030038,13367139
4672,14979432,14979432,14979432,83915
10187,14939067,14939067,14939067,14449422
