Project,Methods,Fields,Abstract Classes,Abstract Methods,Generic Classes,Generic Methods,Generic Interfaces,Classes,Interfaces,Uses Class Inheritance,Uses Interface Inheritance,Total Polymorphism Usages
17288,6,5,0,0,0,0,0,1,0,0,0,0
17284,4,0,0,0,0,0,0,5,0,0,0,0
17285,12,9,0,0,0,0,0,16,0,0,0,0
17286,3,5,0,0,0,0,0,3,0,0,0,0
17287,46,35,0,0,0,0,0,25,0,20,0,0
17280,10,0,0,0,0,0,0,8,0,0,0,0
17281,1,3,0,0,0,0,0,2,0,0,0,0
17282,4,0,0,0,0,0,0,5,0,0,0,0
2306,14,43,0,0,0,0,0,13,0,0,0,0
10657,52,35,1,0,0,0,0,10,0,3,0,0
2305,7,12,0,0,0,0,0,2,0,0,0,0
10656,52,37,1,0,0,0,0,10,0,3,0,0
2303,3,0,0,0,0,0,0,1,0,0,0,0
2301,54,59,0,0,0,0,0,23,0,21,0,0
2300,49,28,0,0,0,0,0,10,0,7,0,0
10651,52,35,1,0,0,0,0,10,0,3,0,0
10650,52,35,1,0,0,0,0,10,0,3,0,0
10653,51,37,1,0,0,0,0,10,0,3,0,0
2309,7,6,0,0,0,0,0,4,0,2,0,0
10652,54,36,1,0,0,0,0,10,0,3,0,0
3636,36,17,0,0,0,0,0,7,0,3,0,0
10655,50,34,1,0,0,0,0,10,0,3,0,0
2307,27,27,3,0,0,0,0,11,0,9,0,0
10654,51,37,1,0,0,0,0,10,0,3,0,0
17295,14,9,0,0,0,0,0,6,0,0,0,0
4981,27,19,1,0,0,0,0,7,0,2,0,0
17292,11,2,0,0,0,0,0,12,0,0,0,0
2317,10,4,0,0,0,0,0,3,0,0,0,0
10667,51,34,1,0,0,0,0,10,0,3,0,0
2314,24,20,0,0,0,0,0,5,0,2,0,0
10669,51,35,1,0,0,0,0,10,0,3,0,0
2313,38,36,0,0,0,0,0,15,0,13,0,0
10660,51,33,1,0,0,0,0,10,0,3,0,0
3643,9,2,0,0,0,0,0,5,0,3,0,0
4974,12,0,0,0,0,0,0,13,0,10,0,0
10662,53,42,1,0,0,0,0,10,0,3,0,0
10661,58,48,1,0,0,0,0,10,0,3,0,0
4976,61,24,0,0,0,0,0,37,0,35,0,0
10664,57,44,1,0,0,0,0,11,0,5,0,0
10663,56,41,1,0,0,0,0,11,0,4,0,0
4978,48,11,0,0,0,0,0,32,0,26,0,0
10666,53,40,1,0,0,0,0,10,0,3,0,0
2318,17,4,0,0,0,0,0,7,0,3,0,0
17266,17,10,0,0,0,0,0,7,0,1,0,0
