file_count,tokens
4896,20
6903,21
3992,22
5064,23
3209,24
3554,25
2620,26
2828,27
1884,28
2808,29
2106,30
1994,31
2382,32
1783,33
1259,34
1545,35
1044,36
1667,37
1187,38
1135,39
926,40
1013,41
819,42
1695,43
692,44
1057,45
519,46
664,47
527,48
905,49
440,50
514,51
441,52
784,53
688,54
400,55
506,56
385,57
304,58
344,59
285,60
542,61
201,62
274,63
274,64
505,65
207,66
224,67
224,68
409,69
137,70
228,71
234,72
237,73
169,74
177,75
252,76
356,77
125,78
149,79
201,80
157,81
104,82
167,83
120,84
335,85
76,86
173,87
125,88
130,89
65,90
106,91
69,92
272,93
45,94
74,95
111,96
95,97
77,98
125,99
46,100
249,101
57,102
76,103
91,104
81,105
61,106
86,107
61,108
219,109
38,110
66,111
75,112
69,113
36,114
47,115
35,116
176,117
53,118
50,119
74,120
73,121
36,122
54,123
38,124
137,125
28,126
62,127
71,128
75,129
18,130
39,131
28,132
129,133
15,134
39,135
67,136
47,137
18,138
37,139
21,140
104,141
25,142
86,143
46,144
39,145
26,146
43,147
27,148
113,149
16,150
38,151
39,152
34,153
13,154
27,155
9,156
91,157
17,158
19,159
33,160
41,161
12,162
23,163
20,164
82,165
8,166
28,167
38,168
35,169
13,170
22,171
22,172
80,173
13,174
26,175
35,176
27,177
8,178
32,179
10,180
70,181
24,182
26,183
31,184
40,185
16,186
19,187
11,188
65,189
13,190
23,191
29,192
28,193
10,194
14,195
15,196
65,197
12,198
21,199
32,200
28,201
8,202
22,203
11,204
60,205
17,206
17,207
29,208
28,209
9,210
22,211
13,212
56,213
7,214
23,215
22,216
22,217
11,218
15,219
13,220
55,221
10,222
27,223
25,224
21,225
14,226
22,227
17,228
53,229
14,230
18,231
24,232
23,233
15,234
21,235
14,236
46,237
10,238
21,239
23,240
16,241
12,242
17,243
14,244
42,245
11,246
13,247
23,248
19,249
11,250
13,251
11,252
42,253
12,254
14,255
23,256
21,257
9,258
9,259
13,260
38,261
11,262
19,263
20,264
15,265
10,266
13,267
14,268
44,269
12,270
8,271
18,272
8,273
11,274
3,275
12,276
35,277
9,278
7,279
16,280
8,281
9,282
5,283
12,284
29,285
13,286
9,287
15,288
10,289
12,290
3,291
12,292
31,293
12,294
7,295
15,296
7,297
9,298
6,299
11,300
28,301
24,302
7,303
17,304
5,305
10,306
5,307
12,308
27,309
10,310
3,311
14,312
4,313
10,314
6,315
11,316
23,317
9,318
7,319
14,320
6,321
9,322
11,323
10,324
28,325
9,326
6,327
14,328
7,329
9,330
4,331
8,332
24,333
10,334
3,335
12,336
5,337
7,338
5,339
8,340
27,341
8,342
4,343
11,344
5,345
10,346
4,347
9,348
24,349
7,350
6,351
11,352
6,353
9,354
6,355
8,356
20,357
8,358
5,359
11,360
6,361
7,362
5,363
8,364
20,365
7,366
3,367
10,368
6,369
7,370
4,371
8,372
21,373
8,374
6,375
12,376
8,377
7,378
6,379
8,380
20,381
7,382
7,383
9,384
6,385
7,386
4,387
9,388
19,389
7,390
4,391
10,392
5,393
9,394
4,395
9,396
18,397
10,398
5,399
9,400
6,401
8,402
3,403
8,404
18,405
8,406
2,407
10,408
3,409
9,410
2,411
9,412
17,413
7,414
4,415
9,416
3,417
7,418
3,419
8,420
16,421
8,422
3,423
10,424
4,425
9,426
4,427
6,428
16,429
6,430
6,431
7,432
6,433
5,434
2,435
6,436
15,437
5,438
3,439
7,440
4,441
4,442
3,443
5,444
15,445
2,446
1,447
4,448
3,449
1,450
1,451
2,452
11,453
2,454
3,456
2,457
1,458
1,459
2,460
13,461
1,462
4,464
2,465
1,466
1,467
2,468
13,469
1,470
1,471
3,472
1,473
1,474
3,475
2,476
11,477
1,478
3,480
4,481
1,482
3,484
17,485
1,486
1,487
2,488
1,489
1,490
4,492
11,493
2,494
4,496
2,497
2,498
1,499
3,500
11,501
3,502
3,504
2,505
3,506
3,508
12,509
2,510
1,511
3,512
5,513
2,514
1,515
5,516
10,517
3,518
1,519
3,520
1,521
2,522
2,523
3,524
10,525
2,526
3,527
4,528
1,529
3,530
3,532
10,533
2,534
1,535
3,536
3,537
2,538
1,539
3,540
11,541
2,542
3,544
2,545
3,546
3,548
11,549
2,550
1,551
3,552
2,553
2,554
3,556
8,557
2,558
1,559
3,560
1,561
2,562
3,564
8,565
3,566
4,568
2,569
2,570
1,571
3,572
8,573
2,574
1,575
4,576
2,577
3,578
2,579
3,580
8,581
2,582
2,583
3,584
1,585
2,586
1,587
3,588
8,589
2,590
3,592
1,593
3,594
3,596
7,597
3,598
3,600
3,601
2,602
3,604
6,605
3,606
3,608
1,609
3,610
2,611
3,612
6,613
2,614
3,616
2,617
2,618
1,619
3,620
6,621
2,622
4,624
2,625
2,626
3,628
7,629
2,630
2,631
3,632
1,633
3,634
3,636
