Project,SLOC Count
60,240
189,678
192,476
208,664
215,584
221,693
230,785
233,633
236,56
239,580
240,137
242,291
243,57
244,639
245,364
248,793
249,792
250,600
251,233
252,162
255,239
257,86
261,98
267,313
271,815
274,175
280,7298
286,282
287,471
292,383
294,56
295,444
304,172
305,865
313,658
316,940
317,364
318,237
324,1380
325,1136
326,408
327,1416
328,1534
330,962
333,163
335,877
337,286
338,3133
343,545
344,882
347,1384
349,6056
351,1118
352,265
354,2097
360,1379
361,896
369,2029
371,1043
373,741
376,299
378,994
380,809
385,5964
390,323
392,1251
398,786
400,1210
402,331
403,614
405,532
414,3666
416,851
417,968
420,737
421,1914
436,94
439,312
442,395
445,1483
452,166
457,597
458,229
462,459
464,140
465,242
468,62
471,401
485,4776
486,475
492,690
493,683
494,2166
495,689
508,639
509,34
510,166
512,292
513,66
516,381
517,378
518,399
519,74
521,86
522,223
524,208
526,718
529,703
532,300
533,767
534,405
535,186
536,22
537,394
540,402
541,1392
543,719
550,141
553,198
554,628
555,1030
556,718
558,196
561,461
565,498
570,134
571,667
573,1806
574,266
575,321
576,1125
577,1444
578,83
579,190
580,173
581,385
582,533
583,399
584,1838
585,126
586,4109
593,888
595,732
597,381
604,393
607,203
608,799
609,2071
610,296
611,151
612,83
613,126
617,986
619,90
622,474
623,206
624,1553
626,81
627,334
628,206
629,143
631,77
632,1214
635,417
639,588
647,641
648,81
652,817
656,205
660,292
663,221
665,2306
669,157
670,1073
674,267
675,553
677,491
680,224
684,10003
685,34
687,1439
688,406
689,687
690,366
695,514
710,280
711,523
714,514
717,1014
718,321
728,348
729,452
732,212
735,213
738,470
750,54
752,1690
753,272
762,51
763,426
764,616
766,263
767,161
768,565
769,529
773,257
774,1595
777,726
778,953
779,726
782,1345
784,1105
787,827
788,795
794,213
802,351
803,362
804,709
806,173
809,305
814,595
815,445
816,720
817,215
818,48
819,386
820,688
821,687
822,513
823,451
824,901
825,1827
835,1057
836,723
839,409
840,34
842,389
850,174
859,357
864,209
868,417
871,1536
872,10180
874,82
878,537
879,1059
882,1647
884,110
890,134
895,1943
900,399
902,642
904,597
908,684
917,39
918,385
921,195
922,719
924,178
925,572
932,392
933,575
938,330
943,156
944,510
949,236
951,188
955,337
958,107
966,218
971,196
979,56
982,117
983,987
984,497
990,382
1001,572
1004,218
1005,1533
1006,284
1007,381
1011,212
1013,943
1015,143
1017,1405
1019,176
1022,32
1023,12365
1026,953
1027,240
1033,4740
1034,661
1039,16556
1042,257
1046,278
1048,334
1051,97
1052,1448
1053,418
1054,515
1055,142
1057,991
1061,462
1064,121
1071,3859
1079,726
1080,41
1081,4872
1082,1633
1083,2036
1084,320
1085,2038
1086,1093
1093,3192
1094,1219
1095,237
1096,332
1097,605
1102,165
1103,319
1105,90
1107,416
